file,onset,offset,word,orig_utt_type,orig_present,new_utt_type,new_present
07_06,1975980,1978880,screen,d,y,d,y
07_06,1984710,1987400,doggy,i,y,d,y
07_06,1988550,1989660,train,q,y,q,y
07_06,1989660,1991650,train,d,y,d,y
07_06,2051300,2052100,bottle,d,n,d,n
07_06,2061100,2061870,blankets,d,y,n,y
07_06,2073580,2074340,bottle,d,n,d,n
07_06,2078170,2080200,water,d,y,d,y
07_06,2092100,2092520,milk,n,n,n,y
07_06,2117560,2118720,cap,d,y,n,n
07_06,2151430,2155220,bottle,q,y,q,y
07_06,2160230,2161550,couch,d,y,d,n
07_06,2235240,2236300,truck,q,n,q,y
07_06,2265050,2266170,arms,i,y,d,y
07_06,2327170,2330780,nutcrackers,n,y,n,y
07_06,2327170,2330780,mantle,q,y,q,y
07_06,2331580,2332970,mouths,q,y,q,n
07_06,2352580,2354720,nutcracker,d,y,d,y
07_06,2365010,2367810,snowman,n,y,n,y
07_06,2379310,2381080,pictures,d,y,d,y
07_06,2399760,2400760,book,d,n,d,n
07_06,2435810,2438030,book,d,y,d,n
07_06,2446610,2448310,toys,d,y,d,y
07_06,2478860,2480000,cushion,d,y,d,y
07_06,2523530,2524910,computer,n,y,n,y
07_06,2529280,2532900,laptop,s,y,s,y
07_06,2545270,2546860,mouse,d,y,d,y
07_06,2575140,2576500,button,q,y,q,y
07_06,2589030,2590250,laptop,s,y,s,y
07_06,2590250,2592020,star,n,y,n,y
07_06,2592020,2592830,oval,n,y,n,y
07_06,2604020,2605130,pound,n,y,n,y
07_06,2605930,2606730,triangles,n,y,n,y
07_06,2608120,2609670,circle,n,y,n,y
21_06,21893480,21896060,spout,s,n,s,n
21_06,21893480,21896060,spider,s,n,s,y
21_06,21909630,21910620,hand,i,y,i,y
21_06,21970060,21971250,face,d,y,d,y
21_06,21972100,21974720,face,d,y,d,y
21_06,21983400,21985010,dog,q,y,q,n
21_06,21986880,21988240,dog,i,y,i,y
21_06,21993160,21994270,door,d,n,d,n
21_06,22010300,22012240,dog,q,y,q,n
21_06,22037720,22040430,car,d,n,d,n
21_06,22041710,22042310,car,d,n,d,n
21_06,22042310,22044530,brakes,d,n,d,n
21_06,22044530,22045150,tires,d,n,d,n
21_06,22142320,22142920,spider,s,n,s,n
21_06,22142920,22145860,waterspout,s,n,s,n
21_06,22145860,22147600,rain,s,n,s,n
21_06,22147600,22148980,spider,s,n,s,n
21_06,22149830,22151160,sun,s,n,s,n
21_06,22152760,22153750,rain,s,n,s,n
21_06,22153750,22157360,spider,s,n,s,n
21_06,22157360,22157960,spout,s,n,s,n
21_06,22340360,22341490,baby,d,y,d,y
21_06,22914180,22916580,truck,d,n,d,n
21_06,23158520,23166730,dryer,d,y,d,n
21_06,23169010,23176810,dryer,d,n,d,n
21_06,23223770,23225090,knees,s,n,s,n
21_06,23277230,23280860,knees,s,n,s,n
21_06,23337270,23339000,heart,s,n,s,n
